2.0 8.628162014837211E-03  8.620274160292480E-03  2.773460806960556E-02  2.211494630033715E-02  4.998049873857852E-03  3.706264653472973E-03
2.28 2.812449673325656E-03  2.823975398517005E-03  8.416684167333656E-03  6.094343241802338E-03  1.925252004969569E-03  1.422695614589993E-03
2.56 1.041599554805292E-03  1.042837664799598E-03  2.784909724343326E-03  1.834239008844741E-03  7.588441164714859E-04  5.445748503871528E-04
2.84 4.507469935214592E-04  4.539804126629748E-04  1.099785492738116E-03  6.801662797112234E-04  3.270126297689527E-04  2.279941264046217E-04
3.12 2.174745599824736E-04  2.171318784622424E-04  4.776424932730396E-04  2.804878134661098E-04  1.545380081473768E-04  1.028088323395012E-04
3.4 1.129019298559199E-04  1.119091789348863E-04  2.208565270466518E-04  1.208878639316625E-04  7.610346201821661E-05  4.891835092447567E-05
3.68 6.153298954409230E-05  6.171239886510695E-05  1.061408658604350E-04  5.567501460914479E-05  3.940014097751500E-05  2.416876513252500E-05
3.96 3.558066981930068E-05  3.574616362192324E-05  5.247248660318566E-05  2.604114532947979E-05  2.148545440347098E-05  1.225754064024526E-05
4.24 2.137947601361046E-05  2.167268912209478E-05  2.676855390803326E-05  1.243825271841765E-05  1.209738962600491E-05  6.402641964002077E-06
4.52 1.337755763394511E-05  1.352214243293737E-05  1.376137695733461E-05  6.015871166902400E-06  7.074171649401953E-06  3.439793186917250E-06
4.8 8.581328797905374E-06  8.716029452509377E-06  7.201852315829277E-06  2.933999897051238E-06  4.293105197183690E-06  1.886694177675278E-06
5.08 5.652567350064866E-06  5.709610334441490E-06  3.833413124908134E-06  1.425884173166622E-06  2.673649159886559E-06  1.058053459447364E-06
5.36 3.804493275139216E-06  3.846074506517679E-06  2.065776510518730E-06  6.975806777010218E-07  1.724874150536446E-06  6.106633135327054E-07
5.64 2.625381015610817E-06  2.671986841288322E-06  1.129895028916184E-06  3.428674571062236E-07  1.157591512842308E-06  3.687608480379283E-07
5.92 1.842111479076531E-06  1.865864403701345E-06  6.324050999177188E-07  1.683804415275876E-07  7.901372175812903E-07  2.298616135430102E-07
6.2 1.312771115005074E-06  1.341425207726530E-06  3.675975104430231E-07  8.327121399524148E-08  5.563618308275018E-07  1.482184778808272E-07
6.48 9.411665517983831E-07  9.633400955929796E-07  2.191716606169605E-07  4.211955225472972E-08  3.977550450979126E-07  9.937341621963863E-08
6.76 6.898723327173905E-07  7.056931942650688E-07  1.377375845203150E-07  2.168070543828116E-08  2.934997810632522E-07  6.898240401187270E-08
7.04 5.079420276175151E-07  5.244125992387178E-07  9.098833037778961E-08  1.172810996727591E-08  2.181416537586611E-07  4.921128048497838E-08
7.32 3.825568195326449E-07  3.920498056056176E-07  6.224574559623402E-08  6.749247804553680E-09  1.652699575252426E-07  3.593048216901649E-08
7.6 2.884931268954402E-07  2.980836528874565E-07  4.472512089399880E-08  4.177707961284394E-09  1.256745556706969E-07  2.678214034302881E-08
