  1.250E+00  1.069E+08
  1.750E+00  1.016E+07
  2.250E+00  1.484E+06
  2.750E+00  3.252E+05
  3.250E+00  9.395E+04
  3.750E+00  3.250E+04
  4.250E+00  1.275E+04
  4.750E+00  5.541E+03
  5.250E+00  2.599E+03
  5.750E+00  1.303E+03
  6.250E+00  6.856E+02
  6.750E+00  3.763E+02
  7.250E+00  2.152E+02
  7.750E+00  1.266E+02
  8.250E+00  7.649E+01
  8.750E+00  4.749E+01
  9.250E+00  2.995E+01
  9.750E+00  1.930E+01
  1.025E+01  1.268E+01
  1.075E+01  8.465E+00
  1.125E+01  5.705E+00
  1.175E+01  3.905E+00
  1.225E+01  2.705E+00
  1.275E+01  1.889E+00
  1.325E+01  1.336E+00
  1.375E+01  9.511E-01
  1.425E+01  6.821E-01
  1.475E+01  4.964E-01
  1.525E+01  3.610E-01
