2.0 2.088944412773439E-02  2.077989924433869E-02  1.771362085866724E-02  1.448885821494892E-02  6.566629684974066E-03  4.668277603843593E-03
2.28 8.055111700397794E-03  8.140149249020106E-03  6.790381106524929E-03  5.357853381477423E-03  2.732524066716773E-03  1.958871855700913E-03
2.56 3.450775666467531E-03  3.432695006667673E-03  2.878620501155098E-03  2.214627313617658E-03  1.250210915362915E-03  8.582246355681670E-04
2.84 1.557460108709092E-03  1.589898953386479E-03  1.285518786443531E-03  9.508513980908462E-04  5.877215149118163E-04  4.031171058010996E-04
3.12 7.558900526859836E-04  7.798683191377275E-04  6.136391128550875E-04  4.322447807586775E-04  2.936660076840168E-04  1.884973635699645E-04
3.4 4.057534144221226E-04  4.096682329222973E-04  2.987129580390539E-04  2.009752676181267E-04  1.539028266615919E-04  9.948497482038103E-05
3.68 2.275827640340192E-04  2.247492989409216E-04  1.495103441922561E-04  9.831101957972262E-05  8.290457518338455E-05  5.055027836188813E-05
3.96 1.288102118244358E-04  1.300335350699982E-04  7.853687780824510E-05  4.788804577387738E-05  4.703291937354715E-05  2.647696770650367E-05
4.24 7.686691684931161E-05  7.726722452029895E-05  4.194637806973959E-05  2.419609115014204E-05  2.773050007102282E-05  1.449076057883971E-05
4.52 4.813657138833726E-05  4.854023513747169E-05  2.218295505464812E-05  1.243329534637810E-05  1.641148099752990E-05  7.897670775810421E-06
4.8 3.021126137517122E-05  3.069389036088044E-05  1.204741578037194E-05  6.400455336736568E-06  9.993027033623526E-06  4.512144024338098E-06
5.08 2.019036561013658E-05  2.029150085079834E-05  6.619063961261416E-06  3.205781908142464E-06  6.389187031682815E-06  2.604692480505168E-06
5.36 1.347036074861309E-05  1.375557119800720E-05  3.734994492879289E-06  1.644099658341963E-06  4.138503265380309E-06  1.546124865740585E-06
5.64 9.195098671799712E-06  9.190125715567244E-06  2.131838556485200E-06  8.401725227897507E-07  2.824969233242702E-06  9.584897084167073E-07
5.92 6.374796069900230E-06  6.456616291733042E-06  1.236673651054015E-06  4.246729578615619E-07  1.925318314801101E-06  6.117850370986333E-07
6.2 4.438035806381601E-06  4.516848573325615E-06  7.414156287902302E-07  2.166759053965097E-07  1.368417649576022E-06  4.094271714118157E-07
6.48 3.227465086468044E-06  3.243555248033988E-06  4.718772455436960E-07  1.128789630895227E-07  9.974401166720542E-07  2.780604095041221E-07
6.76 2.343742518634190E-06  2.372086387801839E-06  3.065870320534869E-07  5.821967311380578E-08  7.319090605900494E-07  2.001135677323831E-07
7.04 1.716125965158116E-06  1.744763811922901E-06  2.084815355781585E-07  3.263397227336437E-08  5.494998434243776E-07  1.419538453979655E-07
7.32 1.283071081301989E-06  1.302036818646681E-06  1.469725388523926E-07  1.959253931655461E-08  4.187353313121232E-07  1.049062473949274E-07
7.6 9.559338614440500E-07  9.857285518119561E-07  1.085452999455961E-07  1.245378181923756E-08  3.167374379637413E-07  7.815510619962220E-08
7.88 7.269219695357880E-07  7.346066519199050E-07  8.290704241004841E-08  8.450542297020120E-09  2.444087520887018E-07  5.995404604347482E-08
8.16 5.538234263064244E-07  5.682157032016613E-07  6.273878882022808E-08  5.985845797928962E-09  1.902119856273704E-07  4.560781787030981E-08
8.44 4.258922741444601E-07  4.428260630564647E-07  4.761963106525162E-08  4.422482838375737E-09  1.492295577549605E-07  3.536704134390346E-08
8.72 3.306645335961061E-07  3.404740598997369E-07  3.733715010581549E-08  3.321194169980902E-09  1.179355183675133E-07  2.756446246554558E-08
9.0 2.609345863366637E-07  2.663458312431656E-07  2.969493919015136E-08  2.507867798076736E-09  9.354837240114592E-08  2.132801948544902E-08
9.28 2.022716662588047E-07  2.088547703804913E-07  2.363072503726211E-08  1.967534741705570E-09  7.444675634029405E-08  1.694334269284037E-08
9.56 1.622821097600421E-07  1.688745435584568E-07  1.895535106002976E-08  1.525559408738977E-09  6.013287452337417E-08  1.363046403814919E-08
9.84 1.282853067518519E-07  1.318864492963158E-07  1.517350055682113E-08  1.196073108381866E-09  4.882638371504421E-08  1.063342063636163E-08
10.1200000000000 1.023840580452284E-07  1.058185763719090E-07  1.219894603469937E-08  9.316320922781365E-10  3.955111917901261E-08  8.687660020447292E-09
10.4 8.234300120298502E-08  8.584192038201421E-08  9.915467911028667E-09  7.392631105342540E-10  3.171869343659249E-08  7.005679971452345E-09
10.6800000000000 6.503358755694856E-08  6.922417971572451E-08  8.235851640026923E-09  5.977856428782713E-10  2.622785697902267E-08  5.647745552637573E-09
10.9600000000000 5.421847197390650E-08  5.655007781883280E-08  6.669544351654404E-09  4.685149465216642E-10  2.199000634849164E-08  4.606997418463648E-09
11.2400000000000 4.417130617513276E-08  4.582619511406298E-08  5.361146130054074E-09  3.807691997975966E-10  1.761439157540897E-08  3.739377304933701E-09
11.5200000000000 3.543040097469181E-08  3.744878343123308E-08  4.477270733294102E-09  3.083946595515139E-10  1.495921207257286E-08  3.078132142415304E-09
11.8 2.982536898051769E-08  3.116455332150961E-08  3.669502766419051E-09  2.493641783847815E-10  1.231813464926798E-08  2.543312416611245E-09
12.0800000000000 2.424087259750408E-08  2.580158150854798E-08  3.071538153625448E-09  2.011009459879231E-10  1.026794839601625E-08  2.103811420683223E-09
12.3600000000000 2.003277589672293E-08  2.125821391168854E-08  2.564559418685127E-09  1.622518212041762E-10  8.541425129275575E-09  1.718563845518260E-09
12.6400000000000 1.652579790286621E-08  1.752897690377799E-08  2.142299441336426E-09  1.348197066331532E-10  7.254209701497300E-09  1.443147111216188E-09
