1.220  0.359  0.0209  0.0775  0.1147  0.0757  0.1438  0.1677
1.720  0.413  0.0242  0.0927  0.1339  0.0958  0.1340  0.1634
2.220  0.409  0.0302  0.0896  0.1439  0.1017  0.1498  0.1811
2.720  0.293  0.0303  0.0767  0.1152  0.0769  0.1561  0.1781
3.222  0.314  0.0437  0.0903  0.1417  0.0850  0.1299  0.1724
3.724  0.338  0.0531  0.1129  0.1741  0.0940  0.1639  0.2198


final values from addendum to PPG003 AN:

1.220 & 0.359 & 0.0209 & 0.0775 & 0.1147 & 0.0757 & 0.1438 & 0.1677\\
1.720 & 0.413 & 0.0242 & 0.0927 & 0.1339 & 0.0958 & 0.1340 & 0.1634\\
2.220 & 0.409 & 0.0302 & 0.0896 & 0.1439 & 0.1017 & 0.1498 & 0.1811\\
2.720 & 0.293 & 0.0303 & 0.0767 & 0.1152 & 0.0769 & 0.1561 & 0.1781\\
3.222 & 0.314 & 0.0437 & 0.0903 & 0.1417 & 0.0850 & 0.1299 & 0.1724\\
3.724 & 0.338 & 0.0531 & 0.1129 & 0.1741 & 0.0940 & 0.1639 & 0.2198\\
