56.0024 121.003 -24.6261 185.011 -11.8842 18.4257 168.89  -14.4097 13.586
56.0088 121.01  -24.608  185.005 -11.86   20.6647 180.246 -4.48462 53.2094
56.0042 121     -24.6317 185.008 -11.8979 23.0502 190.537 -10.9416 19.4704
56.0055 120.996 -24.6375 185.008 -11.9159 16.9725 161.63  -8.77265 31.7972
55.9951 120.997 -24.6438 184.988 -11.9032 23.4335 194.138 -9.61034 27.9176
55.9956 120.998 -24.6357 184.986 -11.8974 23.3195 193.337 -8.59028 32.5625
56.0024 121.003 -24.6306 185.012 -11.8953 21.0944 182.256 -9.53491 28.4635
56.0004 121.006 -24.6299 185.007 -11.8928 21.8229 185.864 -8.82929 31.9151
1(x)   2(y)    3(x)     4(y)     5(x)    6(x)     6(y)    7(x)     7(y)
