56.0017 121.02 80.6257 185.002 67.8556 25.3182 25.3487 9.29564 9.16432
0 0 0 0 0 183.108 24.9989 132.889 24.9913
56.0027 121.033 80.6097 185.016 67.8604 25.3121 25.4048 9.35076 9.40359
0 0 0 0 0 180.755 19.4183 136.005 21.0109
55.9905 120.996 80.6384 185.001 67.9323 25.336 25.3652 9.34644 9.35482
0 0 0 0 0 181.445 19.5834 138.947 19.5583
55.9907 121.022 80.6381 185.029 67.8917 25.3454 25.3594 9.28472 9.34364
0 0 0 0 0 178.697 14.6431 138.913 12.8867
56.0007 121.009 80.6199 184.998 67.8668 25.3025 25.3888 9.24103 9.34212
0 0 0 0 0 189.451 23.829 140.905 23.8049
55.9938 121.006 80.6153 184.985 67.8909 25.244 25.3454 9.24966 9.31418
0 0 0 0 0 186.08 19.37 135.485 19.3578
56.0065 121.014 80.6135 185.008 67.8647 25.3383 25.3159 9.28116 9.29716
0 0 0 0 0 185.102 16.7716 132.745 16.7559
55.9996 121.01 80.6 184.948 67.849 25.2806 25.4028 9.30148 9.35584
0 0 0 0 0 193.817 23.048 127.752 23.0149
1(x)   2(y)    3(x)     4(y)     5(x)    6(x)   7(x)   8(x)   9(x)
                 6(y)   7(y)   8(y)   9(y)
