55.9996 121.001 -24.6177 185.005 -11.875 30.7523 30.7426 46.2587 46.2417
0 0 0 0 0 181.985 17.0665 132.55 17.0536
55.9991 121.003 -24.6192 185.01 -11.8821 30.6581 30.6182 46.6552 46.6357
0 0 0 0 0 176.441 20.73 128.878 20.7353
55.9996 121 -24.6367 185 -11.8961 30.6885 30.6525 46.6872 46.6552
0 0 0 0 0 177.629 21.2278 129.17 21.2161
56.0007 121.002 -24.6174 185.005 -11.8682 30.668 30.5989 46.6481 46.6171
0 0 0 0 0 181.917 14.7612 125.385 14.5804
55.9981 120.991 -24.6096 184.99 -11.8656 30.7868 30.6382 46.7568 46.6377
0 0 0 0 0 185.939 30.2019 131.827 30.2082
56.0019 121.003 -24.6228 184.995 -11.8722 30.7388 30.766 46.7825 46.7817
0 0 0 0 0 184.923 32.7754 130.901 32.7757
55.9979 121.001 -24.624 184.999 -11.8849 30.6929 30.5902 46.6778 46.5955
0 0 0 0 0 183.059 23.7185 129.477 23.7261
55.9991 120.995 -24.6294 185.003 -11.8941 30.6827 30.6692 46.7393 46.6982
0 0 0 0 0 176.451 23.0106 129.441 23.0188
1(x)   2(y)    3(x)     4(y)     5(x)    6(x)   7(x)   8(x)   9(x)
                                       6(y)   7(y)   8(y)   9(y)
