55.9948 121.014 80.6171 185.028 67.8693 25.3162 24.1198 9.3152 9.36955
0 0 0 0 0 184.583 6.04622 141.731 11.2202
56.008 121.022 80.5945 185.007 67.8378 25.3185 25.3896 9.25703 9.31926
0 0 0 0 0 180.82 17.2293 136.896 15.1315
56.0128 121.007 80.6399 185.021 67.9018 25.3451 25.3703 9.24789 9.33933
0 0 0 0 0 190.777 13.7828 138.937 21.0007
56.0098 120.999 80.6328 185.019 67.9006 25.3487 25.3771 9.27735 9.34568
0 0 0 0 0 163.326 19.542 141.577 14.0886
55.991 121.001 80.6376 184.994 67.895 25.3624 25.3703 9.37412 9.35888
0 0 0 0 0 182.759 40.212 133.919 40.2087
55.9935 120.993 80.6282 184.973 67.8858 25.3312 25.3556 9.28624 9.33475
0 0 0 0 0 191.736 23.6908 135.959 23.8404
56.0019 121.01 80.6249 185.023 67.8838 25.4041 25.4008 9.38809 9.35711
0 0 0 0 0 184.798 24.3716 137.993 28.3291
55.9946 121.016 80.6117 185.018 67.8721 25.2964 25.3731 9.33221 9.34974
0 0 0 0 0 174.496 25.1529 140.124 14.5722
1(x)   2(y)    3(x)     4(y)     5(x)    6(x)   7(x)   8(x)   9(x)
                                   6(y)   7(y)   8(y)   9(y)
